appid,name_x,label_dead,label_dead_binary,avg_players_median_6m,months_used,min_months_required,min_months_ok,first_month_in_window,last_month,name_y,type,is_free,required_age,release_date,coming_soon,developers,publishers,categories,genres,tags,windows,mac,linux,initial_price,final_price,discount_percent,metacritic_score,recommendations_total,achievements_total,supported_languages,pc_min_requirements,controller_support,has_dlc,dlc_count,crawl_timestamp,crawl_status
630,Alien Swarm,Dead,1,13.955,6,3,True,2025-02-01,2025-07-01,Alien Swarm,game,True,0.0,"19 Jul, 2010",False,Valve,Valve,"Action, Free To Play","Action, Free To Play","Free to Play, Co-op, Action, Multiplayer, Online Co-Op, Aliens, Shooter, Sci-fi, Top-Down, Top-Down Shooter, Survival, PvE, Class-Based, Third Person, Team-Based, Third-Person Shooter, Moddable, Singleplayer, Strategy, Adventure",True,False,False,Free To Play,Free To Play,0.0,77.0,40.0,66.0,English,"Minimum:OS *:Windows® 7 / Vista / Vista64 / XPProcessor:Pentium 4 3.0GHzMemory:1 GB for XP / 2GB for VistaGraphics:DirectX 9 compatible video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or betterHard Drive:At least 2.5 GB of free spaceSound:DirectX 9.0c compatible sound cardRecommended:OS *:Windows® 7 / Vista / Vista64 / XPProcessor:Intel core 2 duo 2.4GHzMemory:1 GB for XP / 2GB for VistaGraphics:DirectX 9 compatible video card with Shader model 3.0. NVidia 7600, ATI X1600 or betterHard Drive:At least 2.5 GB of free spaceSound:DirectX 9.0c compatible sound card*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:31:06.371566,success
760,Steam Screenshots,Dead,1,1.72,6,3,True,2024-10-01,2025-03-01,Welcome to Steam,game,False,0.0,,False,,,,,,True,True,True,₪249.00,₪12.45,95.0,,0.0,0.0,,,,False,0.0,2025-08-24T19:32:15.437475,success
980,SpaceForce: Rogue Universe Trailer,Dead,1,0.0,6,3,True,2013-12-01,2019-08-01,Welcome to Steam,game,False,0.0,,False,,,,,,True,True,True,₪110.95,₪83.21,90.0,,0.0,0.0,,,,False,0.0,2025-08-24T19:37:24.757046,success
1200,Red Orchestra: Ostfront 41-45,Dead,1,4.98,6,3,True,2025-02-01,2025-07-01,Red Orchestra: Ostfront 41-45,game,False,18.0,"14 Mar, 2006",False,Tripwire Interactive,Tripwire Interactive,Action,Action,"World War II, Action, FPS, Realistic, Singleplayer, Multiplayer, Shooter, War, Military, Tactical, Simulation, Historical, Team-Based, Classic, Atmospheric, Strategy, Violent, First-Person, Tanks, Survival",True,True,True,₪18.50,₪18.50,0.0,81.0,1457.0,44.0,"English, French, Russian","Minimum:OS: Windows XPProcessor:1.2 GHZ or EquivalentMemory:512 MB RAMGraphics:64 MB DX9 CompliantHard Drive:2 GB free hard drive spaceSound:DX 8.1 Compatible AudioRecommended:OS: Windows XPProcessor:2.4 GHZGraphcis:128 MB DX9 Compliant with PS 2.0 supportHard Drive:2 GB free hard drive spaceSound Card:Eax Compatible*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:38:50.948958,success
1220,RedOrchestra SDK Beta,Dead,1,0.185,6,3,True,2019-07-01,2021-10-01,Welcome to Steam,game,False,0.0,,False,,,,,,True,True,True,₪110.95,₪83.21,90.0,,0.0,0.0,,,,False,0.0,2025-08-24T19:39:02.261357,success
1280,Darkest Hour: Europe '44-'45,Dead,1,31.64,6,3,True,2025-02-01,2025-07-01,Darkest Hour: Europe '44-'45,game,True,18.0,"9 Jun, 2009",False,Darklight Games,Darklight Games,"Action, Simulation","Action, Simulation","Action, Simulation, World War II, FPS, Multiplayer, War, Shooter, Realistic, Free to Play, Tactical, Mod, Team-Based, Violent, Military, Singleplayer, Historical, First-Person, Strategy",True,True,True,Free,Free,0.0,,37.0,0.0,"English, Polish, Russian, Ukrainian, Spanish - Spain, German","Software:Own a copy of Red Orchestra: Ostfront on SteamMinimum Hardware:OS: Windows XPProcessor: 1.2 GHZ or EquivalentMemory: 1 GB RAMGraphics: 256 MB DX9 Compliant (Dedicated GPU)Hard Drive: 16 GB free hard drive spaceSound: DX 8.1 Compatible AudioRecommended:OS: Windows XP/7Processor: 3.0 GHZ or EquivalentMemory: 4 GB RAMGraphics: 1024 MB DX9 CompliantHard Drive: 32 GB free hard drive spaceSound: Eax Compatible*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:39:44.192876,success
1510,Uplink,Dead,1,4.745,6,3,True,2025-02-01,2025-07-01,Uplink,game,False,0.0,"23 Aug, 2006",False,Introversion Software,Introversion Software,"Indie, Strategy","Indie, Strategy","Hacking, Indie, Strategy, Singleplayer, Cyberpunk, Simulation, Sci-fi, Real-Time with Pause, 2D, Experimental, Atmospheric, Puzzle, Story Rich, Programming, Perma Death, Roguelike, Text-Based, Immersive Sim, Time Management, Typing",True,True,True,₪43.95,₪43.95,0.0,75.0,1711.0,0.0,English,,,False,0.0,2025-08-24T19:40:23.033846,success
1520,DEFCON,Dead,1,10.345,6,3,True,2025-02-01,2025-07-01,DEFCON,game,False,0.0,"29 Sep, 2006",False,Introversion Software,Introversion Software,"Indie, Strategy","Indie, Strategy","Tactical, PvP, Online Co-Op, Co-op, Singleplayer, Strategy, Replay Value, Cold War, Military, Multiplayer, 2D, Difficult, Top-Down, Wargame, RTS, Immersive Sim, Strategy RPG, Management, Diplomacy, World War II",True,True,True,₪43.95,₪43.95,0.0,84.0,2657.0,22.0,"English, French, German, Italian, Spanish - Spain","Recommended:Windows XP, P3-600-Geforce 2, 128 Mb RAM, 60 Mb Hard Disk, Internet connection for multiplayer games*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:40:26.289757,success
1540,Multiwinia Demo,Dead,1,0.04,6,3,True,2019-04-01,2019-09-01,Multiwinia,game,False,0.0,"19 Sep, 2008",False,Introversion Software,Introversion Software,Indie,Indie,"RTS, Strategy, Multiplayer, Singleplayer, Retro, Action, 3D, Pixel Graphics, Top-Down, Sci-fi, Casual, Tower Defense, Battle Royale, Puzzle, Action RTS, Real Time Tactics, Tactical RPG, Psychedelic, PvP, Combat",True,True,False,₪43.95,₪43.95,0.0,76.0,396.0,12.0,"English, French, Italian, German, Spanish - Spain","Supported OS:Windows XP or VistaProcessor:2.0 GHz CPUMemory:512 MB RAMGraphics:GeForce 6200 or RADEON 9600 seriesHard Drive:64 MB free space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:40:55.240943,success
1600,Dangerous Waters,Dead,1,1.985,6,3,True,2024-02-01,2024-12-01,Dangerous Waters,game,False,0.0,"7 Feb, 2006",False,Sonalysts,Strategy First,Strategy,Strategy,"Strategy, Naval Combat, Simulation, Naval, Submarine, Military, Multiplayer, Singleplayer, Realistic, Stealth, War, Difficult, Free to Play, Action RPG, Immersive Sim, Top-Down, Cold War, Parody, Sailing, Underwater",True,False,False,₪55.95,₪55.95,0.0,82.0,329.0,0.0,English,"Minimum:Windows XP, 550Mhz CPU, 128 MB RAM, D3D Video Card with 32MB RAM (DirectX 9.0b drivers), DX9 Sound Card, 590MB hard drive space, Internet or LAN connection for multiplayerRecommended:1GHz+ CPU, 256 MB RAM, D3D Video Card with 64MB RAM (with DirectX 9.0b compatible drivers), 1GB hard-drive space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:40:58.193595,success
1610,Space Empires IV Deluxe,Dead,1,16.915,6,3,True,2025-02-01,2025-07-01,Space Empires IV Deluxe,game,False,0.0,"7 Feb, 2006",False,Malfador Machinations,Strategy First,Strategy,Strategy,"Strategy, 4X, Sci-fi, Space, Turn-Based Strategy, Turn-Based, Singleplayer",True,False,False,₪46.19,₪46.19,0.0,79.0,247.0,0.0,English,"Minimum:Pentium Processor; Windows XP; 128MB RAM; 800x600 screen resolution; 16bit colour; 300 MB hard drive space; DirectX 8.1 or higher, Windows Compatible Sound Card.*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:00.820505,success
1620,Jagged Alliance 2,Dead,1,0.0,6,3,True,2013-12-01,2019-08-01,Jagged Alliance 2 Gold,game,False,0.0,"6 Jul, 2006",False,Strategy First,Strategy First,Strategy,Strategy,"Strategy, Tactical, Turn-Based Tactics, Classic, Turn-Based Combat, Isometric, Turn-Based, Cult Classic, Turn-Based Strategy, Open World, RPG, Singleplayer, Tactical RPG, Replay Value, Difficult, Action, Moddable, Atmospheric",True,False,False,₪92.44,₪92.44,0.0,,0.0,0.0,English,"Minimum Configuration:Windows 95/98, Pentium 133 Mhz, 32 MB RAM minimum, 373 MB free hard drive space, Microsoft® compatible mouse, SVGA Graphics Adapter, DirectX compatible sound card",,False,0.0,2025-08-24T19:41:03.843911,success
1630,Disciples II: Rise of the Elves,Dead,1,42.58,6,3,True,2025-02-01,2025-07-01,Disciples II: Rise of the Elves,game,False,0.0,"6 Jul, 2006",False,Strategy First,,Strategy,Strategy,"Strategy, Turn-Based Strategy, Classic, Turn-Based, Fantasy, Dark Fantasy, Atmospheric, Dwarf, RPG, Great Soundtrack, Nostalgia, Old School",True,False,False,₪21.95,₪21.95,0.0,80.0,11.0,0.0,English,"Minimum Configuration:Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAMRecommended Configuration:Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:06.279955,success
1640,Disciples II: Gallean's Return,Dead,1,37.215,6,3,True,2025-02-01,2025-07-01,Disciples II: Gallean's Return,game,False,0.0,"6 Jul, 2006",False,Strategy First,Strategy First,Strategy,Strategy,"Turn-Based Strategy, Strategy, Classic, Dark Fantasy, Atmospheric, Turn-Based, Fantasy, Nostalgia, RPG, Gothic, Tactical, Great Soundtrack, Multiplayer, Isometric, Singleplayer",True,False,False,₪21.95,₪21.95,0.0,84.0,11.0,0.0,English,"Minimum Configuration:Windows XP, Pentium II 233 Mhz, 32 Mb RAM, 1200 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 8 MB RAMRecommended Configuration:Windows XP, Pentium II 300 Mhz, 64 MB RAM, 1400 MB hard disk space, DirectX 7.1, 16-bit sound card, Video Card with 16 MB RAM*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:12.279879,success
1690,Space Empires V,Dead,1,10.265,6,3,True,2025-02-01,2025-07-01,Space Empires V,game,False,0.0,"16 Oct, 2006",False,Malfador Machinations,Strategy First,Strategy,Strategy,"Strategy, 4X, Space, Turn-Based, Sci-fi, Singleplayer, Turn-Based Strategy, Multiplayer",True,False,False,₪69.94,₪69.94,0.0,68.0,401.0,0.0,English,"Minimum System Requirements:Pentium 500MHz or better class machine, Windows XP, 64 megabytes RAM or better, 1024x768 or better screen resolution, 16 bit color display or better, DirectX 7.0 (or better), A video card with 3D acceleration, 500 megs hard drive space, A sound card capable of supporting MP3 and DirectSound playback. Sound card must be DirectX 7.0 (or better) compatible.*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:21.177868,success
1700,Arx Fatalis,Dead,1,11.47,6,3,True,2025-02-01,2025-07-01,Arx Fatalis,game,False,0.0,"12 Nov, 2002",False,Arkane Studios,Arkane Studios,RPG,RPG,"RPG, First-Person, Dark Fantasy, Immersive Sim, Classic, Atmospheric, Fantasy, Singleplayer, Underground, Adventure, Action, Dungeon Crawler, Magic, Exploration, Story Rich, Horror, Action RPG, Open World, Stealth, Inventory Management",True,False,False,₪19.99,₪19.99,0.0,77.0,24.0,0.0,"English, French, German, Italian, Spanish - Spain, Russian","Minimum:Windows XP, 500 MHz Pentium ® III or compatible, 64 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 16 MB, 750 MB fixed disksRecommended:900 MHz Pentium ® III or compatible, 256 MB RAM , DirectX 8 or higher, DirectX 8 compatible sound- and graphics card with 32MB, 750 MB fixed disks*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:24.659061,success
1900,Earth 2160,Dead,1,9.085,6,3,True,2025-02-01,2025-07-01,Earth 2160,game,False,0.0,"1 Apr, 2006",False,Reality Pump Studios,"Topware Interactive, ACE",Strategy,Strategy,"Base Building, Space, RTS, Real-Time, Strategy, Action RPG, Post-apocalyptic, Historical, Action, Simulation, Sci-fi, Pixel Graphics, Atmospheric, Aliens, Futuristic, Resource Management, Co-op, Multiplayer, Singleplayer, Tactical RPG",True,False,True,₪36.95,₪36.95,0.0,73.0,729.0,11.0,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian","Minimum:Windows XP / Vista / 7 / 8Intel/AMD Single Core CPU with 2.0 GHz1 GB RAMDirectX 9.0 compatible graphics card with 128 MB RAMDirectX compatible sound card2.0 GB free disk spaceBroad band Internet connectionKeyboard and MouseRecommended:Windows XP / Vista / 7 / 8Intel/AMD Core Duo CPU with 2.0 GHz2 GB RAMGraphics Card with Shader 2.0 support and 256 MBDirectX compatible sound card2.5 GB free disk spaceBroad band Internet connectionKeyboard and Mouse*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,True,2.0,2025-08-24T19:41:33.380559,success
1930,Two Worlds: Epic Edition,Dead,1,23.935,6,3,True,2025-02-01,2025-07-01,Two Worlds Epic Edition,game,False,0.0,"30 Apr, 2009",False,Reality Pump Studios,Topware Interactive,RPG,RPG,"RPG, Open World, Fantasy, Singleplayer, Third Person, Multiplayer, Adventure, Action, Medieval, Action RPG, Story Rich, Character Customization, Dark Fantasy, Magic, Hack and Slash, Co-op, Exploration, 3D, Atmospheric, Sandbox",True,True,True,₪55.95,₪55.95,0.0,65.0,12.0,10.0,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian","Minimum:OS *:Windows XP / Vista / 7 / 8Processor:Dual Core CPU 2.0 GHzMemory:1 GBGraphics:GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b supportHard Drive:6 GB Free SpaceSound:DirectX 9.0c compatibleMisc:Keyboard, Mouse, Broadband Internet ConnectionRecommended:OS *:Windows XP SP2 / Vista / 7 / 8Processor:Intel/AMD Multicore CPUMemory:2 GBGraphics:with Per-Pixel-Shader 3.0 supportHard Drive:7 GB Free SpaceSound:5.1Misc:Keyboard, Mouse, Broadband Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Partial Xbox Controller Support,True,3.0,2025-08-24T19:41:39.966185,success
2100,Dark Messiah of Might & Magic Single Player,Dead,1,38.05,6,3,True,2025-02-01,2025-07-01,Dark Messiah of Might & Magic,game,False,0.0,"25 Oct, 2006",False,Arkane Studios,Ubisoft,"Action, RPG","Action, RPG","RPG, First-Person, Action, Fantasy, Swordplay, Dark Fantasy, Adventure, Magic, Classic, Singleplayer, Stealth, Multiple Endings, Action RPG, Medieval, Story Rich, Atmospheric, Immersive Sim, Gore, Hack and Slash, Multiplayer",True,False,False,₪20.00,₪20.00,0.0,72.0,79.0,0.0,"English, French, German, Italian, Spanish - Spain","Minimum:AMD Athlon™, Pentium® 2.4 GHz, 512MB RAM, 128MB video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:AMD Athlon™, Pentium® 3.0 GHz, 256mb dx9 video card, 7GB HDD Space, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:41:43.107527,success
2110,Dark Messiah Multiplayer Open Beta,Dead,1,0.0,6,3,True,2013-12-01,2019-08-01,Welcome to Steam,game,False,0.0,,False,,,,,,True,True,True,₪249.00,₪12.45,40.0,,0.0,0.0,,,,False,0.0,2025-08-24T19:41:47.322157,success
2200,Quake III Arena,Dead,1,20.94,6,3,True,2025-02-01,2025-07-01,Quake III Arena,game,False,0.0,"5 Dec, 1999",False,id Software,id Software,Action,Action,"FPS, Arena Shooter, Action, Classic, Multiplayer, Shooter, Competitive, 1990's, First-Person, Gore, Fast-Paced, Difficult, Singleplayer, Sci-fi, Moddable, eSports, Old School, Violent, Atmospheric, Retro",True,False,False,₪64.99,₪64.99,0.0,,38.0,0.0,English,"3-D Hardware Accelerator with full OpenGL® support, Pentium® 233 Mhz MMX®processor with 8 MB Video Card or Pentium II 266 Mhz processor with 4 MB Video Card, or AMD® 350 Mhz K6®-2 processor with 4 MB Video Card, 64 MB RAM, a 100% Windows® XP/Vista compatible computer system (including compatible 32-bit drivers for video card, sound card and input devices), 25 MB of uncompressed hard disk space for game files (Minimum Install), plus 45 MB for the Windows swap file, 100% DirectX 3.0 or higher compatible sound card, 100% Microsoft-compatible mouse and driver, joystick (optional)*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:42:11.863014,success
